Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,oop_eFG%,oop_TOV%,oop_ORB%,oop_FT/FGA
51,2007-08,LAL*,NBA,82,57,25,0.695,19780,3248,6818,2586,5067,662,1751,1746,2270,898,2722,3620,2003,654,438,1156,1691,8904,7.26,0.09,7.34,95.6,113,105.5,0.525,12.9,26.3,0.256,0.485,12.9,26.6,0.214
52,2006-07,DAL*,NBA,82,67,15,0.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201,7.22,0.06,7.28,89.5,111.3,103.2,0.509,13.4,28.7,0.256,0.477,14.2,25,0.265
53,2011-12,SAS*,NBA,66,50,16,0.758,15940,2611,5463,2059,4058,552,1405,1067,1427,683,2153,2836,1528,490,293,895,1143,6841,7.17,0.11,7.28,92.9,110.9,103.2,0.528,12.8,25.1,0.195,0.489,12.9,24,0.168
54,2006-07,PHO*,NBA,82,61,21,0.744,19905,3388,6855,2603,4890,785,1965,1476,1827,737,2583,3320,2122,553,394,1189,1659,9037,7.3,-0.03,7.27,95.6,113.9,106.4,0.551,13.4,22.7,0.215,0.492,13.6,28.1,0.206
55,2013-14,LAC*,NBA,82,57,25,0.695,19755,3208,6761,2515,4795,693,1966,1741,2384,858,2668,3526,2016,703,397,1136,1767,8850,6.98,0.3,7.27,95.9,112.1,104.8,0.526,12.7,25,0.258,0.484,13.8,27.5,0.222
56,1966-67,BOS*,NBA,81,60,21,0.741,19615,3724,8325,3724,8325,,,2216,2963,,,5703,1962,,,,2138,9664,8.05,-0.81,7.24,,,,0.447,,,0.266,,,,
57,1997-98,CHI*,NBA,82,62,20,0.756,19855,3064,6801,2753,5839,311,962,1492,2009,1243,2438,3681,1952,696,353,1178,1691,7931,7.11,0.14,7.24,89,107.7,99.8,0.473,13.3,35.7,0.219,0.457,14.7,29.4,0.22
58,1986-87,ATL*,NBA,82,57,25,0.695,19730,3435,7141,3300,6716,135,425,2019,2661,1350,2478,3828,2077,700,511,1279,2152,9024,7.23,-0.05,7.19,97.4,112.6,105.2,0.49,13.3,37.2,0.283,0.46,13.9,32.6,0.284
59,2001-02,LAL*,NBA,82,58,24,0.707,19780,3150,6840,2640,5401,510,1439,1494,2138,1022,2607,3629,1882,625,478,1040,1823,8304,7.12,0.02,7.15,92.1,109.4,101.7,0.498,11.8,28.8,0.218,0.453,13,28,0.233
60,1980-81,MIL*,NBA,82,60,22,0.732,19755,3722,7472,3692,7341,30,131,1802,2340,1261,2408,3669,2319,862,530,1581,2198,9276,7.27,-0.13,7.14,103.6,108.7,101.8,0.5,15.7,36.3,0.241,0.461,16.6,34.4,0.28
61,1998-99,SAS*,NBA,50,37,13,0.74,12075,1740,3812,1568,3291,172,521,988,1415,614,1584,2198,1101,421,351,759,1010,4640,8.06,-0.94,7.12,88.6,104,95,0.479,14.6,30.4,0.259,0.423,13.8,30.5,0.198
62,2009-10,ORL*,NBA,82,59,23,0.72,19730,3005,6394,2164,4153,841,2241,1575,2176,810,2736,3546,1615,512,456,1155,1629,8426,7.49,-0.37,7.12,92,111.4,103.3,0.536,13.6,24.6,0.246,0.477,12.2,22.6,0.205
63,2008-09,LAL*,NBA,82,65,17,0.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768,7.66,-0.55,7.11,94.3,112.8,104.7,0.513,12.3,29.4,0.23,0.49,14.2,27,0.213
64,1989-90,PHO*,NBA,82,54,28,0.659,19855,3544,7139,3368,6596,176,543,2159,2716,1053,2651,3704,2109,668,501,1275,1825,9423,7.1,-0.01,7.09,100.7,113.1,106.2,0.509,13.3,31.1,0.302,0.478,12.8,31.2,0.209
65,2015-16,OKC*,NBA,82,55,27,0.671,19830,3372,7082,2694,5137,678,1945,1616,2067,1071,2916,3987,1883,603,487,1305,1691,9038,7.28,-0.19,7.09,96.7,113.1,105.6,0.524,14,31.1,0.228,0.484,11.7,24,0.205
66,2004-05,PHO*,NBA,82,62,20,0.756,19780,3351,7018,2555,4992,796,2026,1556,2080,967,2652,3619,1927,572,453,1125,1563,9054,7.12,-0.05,7.08,95.9,114.5,107.1,0.534,12.4,27.5,0.222,0.478,12,31.7,0.176
67,2012-13,MIA*,NBA,82,66,16,0.805,19880,3148,6348,2431,4539,717,1809,1423,1887,676,2490,3166,1890,710,441,1143,1533,8436,7.87,-0.84,7.03,90.7,112.3,103.7,0.552,13.7,22.2,0.224,0.487,14.8,27,0.2
68,1991-92,POR*,NBA,82,57,25,0.695,19880,3476,7352,3151,6408,325,944,1858,2463,1294,2549,3843,2065,753,410,1328,1983,9135,7.27,-0.33,6.94,99,111.4,104.2,0.495,13.6,35.6,0.253,0.471,14.3,30.1,0.251
69,1963-64,BOS*,NBA,80,59,21,0.738,,3619,8770,3619,8770,,,1804,2489,,,5736,1760,,,,2125,9042,7.9,-0.97,6.93,,,,0.413,,,0.206,,,,
70,1996-97,SEA*,NBA,82,57,25,0.695,19780,2995,6415,2436,4832,559,1583,1725,2295,1010,2271,3281,1931,904,388,1231,1803,8274,7.68,-0.77,6.91,90.3,111.2,102.7,0.51,14.2,30.9,0.269,0.49,17.7,30.9,0.242
71,1997-98,LAL*,NBA,82,61,21,0.744,19830,3146,6536,2649,5121,497,1415,1863,2743,1079,2471,3550,2009,734,556,1256,1859,8652,7.74,-0.86,6.88,93.6,111.9,103.7,0.519,14,31.6,0.285,0.467,14.1,31.2,0.245
72,2007-08,UTA*,NBA,82,54,28,0.659,19705,3279,6592,2872,5497,407,1095,1745,2298,942,2410,3352,2165,717,355,1200,1970,8710,6.88,-0.01,6.87,93.2,113.8,106.5,0.528,13.6,29.5,0.265,0.501,15,25.9,0.294
73,1985-86,LAL*,NBA,82,62,20,0.756,19830,3834,7343,3696,6934,138,409,1812,2329,1101,2555,3656,2433,693,419,1467,2031,9618,7.74,-0.9,6.84,102.7,113.3,105.8,0.532,14.9,33.1,0.247,0.484,13.5,30.2,0.239
74,1988-89,PHO*,NBA,82,55,27,0.671,19755,3754,7545,3586,7064,168,481,2051,2594,1095,2619,3714,2280,693,416,1279,1933,9727,7.7,-0.86,6.84,104.5,113.1,105.7,0.509,12.8,30.8,0.272,0.476,13.5,32.3,0.225
75,1948-49,MNL*,BAA,60,44,16,0.733,,1885,5146,1885,5146,,,1272,1759,,,,1134,,,,1386,5042,7.38,-0.58,6.81,,,,0.366,,,0.247,,,,
76,2014-15,LAC*,NBA,82,56,26,0.683,19730,3228,6830,2401,4628,827,2202,1468,2067,784,2711,3495,2031,640,409,1012,1749,8751,6.59,0.22,6.8,94.7,112.4,105.5,0.533,11.6,22.8,0.215,0.493,13.2,24.3,0.231
77,2010-11,MIA*,NBA,82,58,24,0.707,19780,3031,6301,2484,4822,547,1479,1760,2288,790,2666,3456,1639,544,430,1142,1674,8369,7.46,-0.71,6.76,90.9,111.7,103.5,0.524,13.5,25.2,0.279,0.475,12.6,24.5,0.223
78,1989-90,LAL*,NBA,82,63,19,0.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079,6.78,-0.04,6.74,96.3,114,107,0.512,13.2,32.8,0.271,0.479,12.8,31.5,0.219
79,1990-91,LAL*,NBA,82,58,24,0.707,19830,3343,6911,3117,6167,226,744,1805,2261,1078,2440,3518,2091,642,384,1203,1524,8717,6.74,-0.01,6.73,94.1,112.1,105,0.5,13.2,33,0.261,0.474,12.8,31.7,0.176
80,1984-85,MIL*,NBA,82,59,23,0.72,19805,3564,7256,3475,6962,89,294,1873,2473,1256,2353,3609,2164,689,486,1382,2239,9090,6.85,-0.16,6.7,99.7,110.5,103.6,0.497,14.2,35.4,0.258,0.467,16.1,34.4,0.29
81,2002-03,SAC*,NBA,82,59,23,0.72,19830,3242,6990,2751,5702,491,1288,1367,1832,900,2751,3651,2034,736,457,1192,1666,8342,6.5,0.19,6.69,95.4,105.9,99.1,0.499,13.3,25.6,0.196,0.446,13.6,29.4,0.204
82,2005-06,SAS*,NBA,82,63,19,0.768,19805,2993,6342,2469,4980,524,1362,1327,1891,851,2548,3399,1717,543,467,1126,1714,7837,6.82,-0.13,6.69,88.5,107.3,99.6,0.513,13.6,26,0.209,0.457,13.5,25.8,0.22
83,2007-08,DET*,NBA,82,59,23,0.72,19730,2999,6551,2512,5221,487,1330,1507,1965,974,2423,3397,1831,583,472,956,1688,7992,7.39,-0.72,6.67,87.3,111.4,102.9,0.495,11.4,29.4,0.23,0.47,13.4,26.3,0.244
84,2012-13,SAS*,NBA,82,58,24,0.707,19880,3210,6675,2547,4911,663,1764,1365,1725,666,2721,3387,2058,695,446,1206,1427,8448,6.4,0.27,6.67,94.2,108.3,101.6,0.531,14,20.5,0.204,0.48,13.7,25.1,0.179
85,1992-93,SEA*,NBA,82,55,27,0.671,19780,3473,7140,3255,6530,218,610,1720,2259,1222,2254,3476,1906,944,409,1267,1971,8884,7.07,-0.42,6.66,96,112.3,104.9,0.502,13.5,35.5,0.241,0.489,16.4,32.3,0.26
86,2013-14,OKC*,NBA,82,59,23,0.72,19805,3194,6782,2530,4943,664,1839,1653,2052,887,2781,3668,1794,678,501,1256,1858,8705,6.34,0.32,6.66,95.4,110.5,103.9,0.52,14,26.5,0.244,0.488,13.9,24.4,0.221
87,1986-87,BOS*,NBA,82,59,23,0.72,19805,3645,7051,3438,6486,207,565,1740,2153,933,2585,3518,2421,561,526,1300,1710,9237,6.65,-0.07,6.58,98.6,113.5,106.8,0.532,14,29,0.247,0.471,12,32.4,0.217
88,1974-75,WSB*,NBA,82,60,22,0.732,19805,3555,7697,3555,7697,,,1475,1962,1133,2764,3897,2005,929,409,1594,1961,8585,7.17,-0.64,6.54,106.1,98,91.3,0.462,15.7,28.7,0.192,0.438,18.2,30,0.202
89,2010-11,CHI*,NBA,82,62,20,0.756,19830,3042,6587,2531,5172,511,1415,1492,2008,967,2654,3621,1827,592,468,1161,1639,8087,7.32,-0.79,6.53,90.4,108.3,100.3,0.501,13.5,29.4,0.227,0.463,13.6,23.8,0.222
90,1990-91,PHO*,NBA,82,55,27,0.671,19730,3573,7199,3435,6767,138,432,2064,2680,1132,2598,3730,2209,687,535,1302,1850,9348,6.55,-0.06,6.49,101,112.6,106.1,0.506,13.5,33,0.287,0.474,13.1,31.5,0.227
91,2008-09,ORL*,NBA,82,59,23,0.72,19730,2929,6416,2112,4269,817,2147,1611,2253,819,2728,3547,1593,570,439,1142,1664,8286,6.7,-0.21,6.49,92.3,109.2,101.9,0.52,13.4,24,0.251,0.465,12.3,24.1,0.209
92,1949-50,SYR*,NBA,64,51,13,0.797,,1869,5276,1869,5276,,,1691,2396,,,,1473,,,,1833,5429,8.14,-1.69,6.48,,,,0.354,,,0.321,,,,
93,1984-85,LAL*,NBA,82,62,20,0.756,19755,3952,7254,3862,6959,90,295,1702,2232,1063,2550,3613,2575,695,481,1537,1931,9696,7.35,-0.87,6.48,103.2,114.1,107,0.551,15.7,33.8,0.235,0.485,13.7,32.9,0.22
94,1989-90,POR*,NBA,82,59,23,0.72,19880,3572,7547,3382,6982,190,565,2031,2734,1355,2552,3907,2085,749,364,1356,2048,9365,6.32,0.16,6.48,102.3,110.5,104.4,0.486,13.4,36.5,0.269,0.479,15.2,29.2,0.265
95,1993-94,NYK*,NBA,82,57,25,0.695,19755,3098,6735,2782,5827,316,908,1564,2097,1175,2542,3717,2067,752,385,1360,2001,8076,6.99,-0.5,6.48,92.8,105.7,98.2,0.483,15.1,34.4,0.232,0.451,16,28.6,0.261
96,1984-85,BOS*,NBA,82,63,19,0.768,19705,3721,7325,3611,7016,110,309,1860,2307,1116,2630,3746,2287,645,414,1332,1781,9412,6.65,-0.18,6.47,101.6,112.8,106.3,0.515,13.8,32.8,0.254,0.481,12.6,29.6,0.198
97,1994-95,ORL*,NBA,82,57,25,0.695,19930,3460,6899,2937,5487,523,1412,1648,2465,1149,2457,3606,2281,672,488,1297,1726,9091,7.06,-0.62,6.44,95.1,115.1,107.8,0.539,14,34,0.239,0.49,13.3,31.6,0.22
98,2011-12,OKC*,NBA,66,47,19,0.712,15990,2462,5229,1990,3912,472,1317,1406,1744,726,2157,2883,1224,498,539,1079,1352,6802,6.12,0.32,6.44,93,109.8,103.2,0.516,15.3,27.8,0.269,0.465,13,27.9,0.207
99,2012-13,LAC*,NBA,82,56,26,0.683,19730,3160,6608,2533,4856,627,1752,1342,1888,938,2475,3413,1958,784,461,1197,1716,8289,6.45,-0.02,6.43,91.1,110.6,103.6,0.526,13.9,28.8,0.203,0.492,15.4,26.5,0.229
100,1983-84,BOS*,NBA,82,62,20,0.756,19955,3616,7235,3561,7006,55,229,1907,2407,1159,2538,3697,2122,673,430,1420,1949,9194,6.56,-0.14,6.42,99.7,110.9,104.4,0.504,14.6,34.2,0.264,0.475,13.8,30.3,0.225
